Labels : PC
	label_eq	:	104
	label_ne	:	112
	label_lt	:	120
	label_ge	:	128
	label_ltu	:	136
	label_geu	:	144
	jump_target	:	152
	loop	:	168

==============================

0x00a00293	PC: 0	['addi', 'x5', 'x0', '10']
0xffb00313	PC: 4	['addi', 'x6', 'x0', '-5']
0x00000393	PC: 8	['addi', 'x7', 'x0', '0']
0x12345237	PC: 12	['lui', 'x4', '0x12345']
0x00002297	PC: 16	['auipc', 'x5', '0x2']
0x00208333	PC: 20	['add', 'x6', 'x1', 'x2']
0x402083b3	PC: 24	['sub', 'x7', 'x1', 'x2']
0x00609433	PC: 28	['sll', 'x8', 'x1', 'x6']
0x001124b3	PC: 32	['slt', 'x9', 'x2', 'x1']
0x00113533	PC: 36	['sltu', 'x10', 'x2', 'x1']
0x0020c5b3	PC: 40	['xor', 'x11', 'x1', 'x2']
0x00645633	PC: 44	['srl', 'x12', 'x8', 'x6']
0x0020e733	PC: 48	['or', 'x14', 'x1', 'x2']
0x0020f7b3	PC: 52	['and', 'x15', 'x1', 'x2']
0x7ff00813	PC: 56	['addi', 'x16', 'x0', '0x7FF']
0x00180893	PC: 60	['addi', 'x17', 'x16', '1']
0x7ff0b913	PC: 64	['sltiu', 'x18', 'x1', '0x7FF']
0x00300ab3	PC: 68	['add', 'x21', 'x0', 'x3']
0x001aa023	PC: 72	['sw', 'x1', '0', 'x21']
0x007aa223	PC: 76	['sw', 'x7', '4', 'x21']
0x004aa423	PC: 80	['sw', 'x4', '8', 'x21']
0x000aab03	PC: 84	['lw', 'x22', '0', 'x21']
0x004aab83	PC: 88	['lw', 'x23', '4', 'x21']
0x008aac03	PC: 92	['lw', 'x24', '8', 'x21']
0x00108463	PC: 96	['beq', 'x1', 'x1', 'label_eq']
0x00118e13	PC: 100	['addi', 'x28', 'x3', '1']
0x00209463	PC: 104	['bne', 'x1', 'x2', 'label_ne']
0x00118e13	PC: 108	['addi', 'x28', 'x3', '1']
0x00114463	PC: 112	['blt', 'x2', 'x1', 'label_lt']
0x00118e13	PC: 116	['addi', 'x28', 'x3', '1']
0x0020d463	PC: 120	['bge', 'x1', 'x2', 'label_ge']
0x00118e13	PC: 124	['addi', 'x28', 'x3', '1']
0x0020e463	PC: 128	['bltu', 'x1', 'x2', 'label_ltu']
0x00118e13	PC: 132	['addi', 'x28', 'x3', '1']
0x00117463	PC: 136	['bgeu', 'x2', 'x1', 'label_geu']
0x00118e13	PC: 140	['addi', 'x28', 'x3', '1']
0x00800cef	PC: 144	['jal', 'x25', 'jump_target']
0x00118e13	PC: 148	['addi', 'x28', 'x3', '1']
0x004c8d13	PC: 152	['addi', 'x26', 'x25', '4']
0x000d0de7	PC: 156	['jalr', 'x27', 'x26', '0']
0x01418e13	PC: 160	['addi', 'x28', 'x3', '20']
0x00a00e13	PC: 164	['addi', 'x28', 'x0', '10']
0xfffe0e13	PC: 168	['addi', 'x28', 'x28', '-1']
0xfe0e1ee3	PC: 172	['bne', 'x28', 'x0', 'loop']
0x00208033	PC: 176	['add', 'x0', 'x1', 'x2']
0x06400013	PC: 180	['addi', 'x0', 'x0', '100']
